data,gioco,sito,prezzo
2025-07-06 22:36:18,Dune Imperium - Insurrezione,GetYourFun,50.99
2025-07-06 22:36:28,Dune Imperium,Player1,34.90
2025-07-06 22:36:33,Through The Ages,GetYourFun,69.99
2025-07-06 22:36:42,Concordia,Player1,44.90
2025-07-06 22:36:50,Barrage,Player1,49.90
2025-07-06 22:36:56,Nucleum,GetYourFun,35.99
2025-07-07 08:34:55,Dune Imperium - Insurrezione,Player1,43.90
2025-07-07 20:31:22,Spirit Island,FantasiaStore,55.99
2025-07-07 20:34:05,Spirit Island,FantasiaStore,55.99
2025-07-07 20:35:00,Dune Imperium - Insurrezione,LaFeltrinelli,59.99
2025-07-07 20:35:00,Dune Imperium - Insurrezione,MagicMerchant,56.30
2025-07-07 20:35:00,Dune Imperium - Insurrezione,Player1,43.90
2025-07-07 20:37:01,Dune Imperium - Insurrezione,DungeonDice,59.99
2025-07-07 20:37:01,Dune Imperium - Insurrezione,LaFeltrinelli,59.99
2025-07-07 20:37:01,Dune Imperium - Insurrezione,Player1,43.90
2025-07-07 20:37:01,Dune Imperium - Insurrezione,MagicMerchant,56.30
2025-07-07 20:37:02,Dune Imperium - Insurrezione,FantasiaStore,50.99
2025-07-07 20:37:50,Dune Imperium - Insurrezione,Player1,43.90
2025-07-07 20:37:54,Spirit Island,FantasiaStore,55.99
